t_s,delta_road_rad,yaw_rate_meas_rads,yaw_rate_resid_rads,yaw_rate_pred_rads
44.14,-0.00420932,-0.0322429,0.00476282,-0.03228770365773907
44.16,-0.00428892,-0.0319101,0.00585647,-0.03304859125867551
44.18,-0.00420932,-0.0314,0.00570741,-0.03238941068336716
44.2,-0.00430961,-0.0311814,0.00680664,-0.03327006527624926
44.22,-0.00420932,-0.029291,0.00783937,-0.032412404088606246
44.24,-0.00420932,-0.0297479,0.00733402,-0.03236387812908327
44.26,-0.00422945,-0.0314784,0.00580161,-0.032562050399746786
44.28,-0.00431199,-0.0318,0.00626893,-0.033350869497341694
44.3,-0.00431048,-0.0316,0.00645586,-0.03333782704357111
44.32,-0.00420932,-0.0319161,0.0052688,-0.03246685472923377
44.34,-0.00420932,-0.0328425,0.00423803,-0.03236246749072505
44.36,-0.00431199,-0.0329521,0.00509555,-0.03332962732379772
44.38,-0.00431199,-0.0322797,0.00578683,-0.03334855742403079
44.4,-0.00431199,-0.0316,0.00643905,-0.03332110155346374
44.42,-0.00431199,-0.0306555,0.007334,-0.033271536481861125
44.44,-0.00431199,-0.0302359,0.00779341,-0.0333114197464743
44.46,-0.00431199,-0.0312733,0.00679757,-0.033352892561488746
44.48,-0.00431199,-0.031271,0.00677067,-0.03332355813135658
44.5,-0.00431199,-0.0301523,0.00783931,-0.03327355954600816
44.52,-0.00431199,-0.0301588,0.00796839,-0.03340924934844215
44.54,-0.00431199,-0.0316,0.00639457,-0.033276594142228735
44.56,-0.00431199,-0.0317587,0.00624761,-0.03328829901336521
44.58,-0.00420932,-0.0316,0.00548023,-0.03236218536305341
44.6,-0.00420932,-0.0318285,0.00525319,-0.03236359600141162
44.62,-0.00420932,-0.03255,0.00458358,-0.032415648556830164
44.64,-0.00420932,-0.032,0.00512479,-0.032406761535173335
44.66,-0.00420932,-0.0322378,0.0048947,-0.03241452004614359
44.68,-0.00420932,-0.032644,0.00442934,-0.03235527323509809
44.7,-0.00420932,-0.0328,0.00434546,-0.03242749791903926
44.72,-0.00418831,-0.0322884,0.00464105,-0.032211492835345655
44.74,-0.00410666,-0.0324,0.00374348,-0.03142549476787601
44.76,-0.00410666,-0.0320583,0.00410411,-0.031444486800914294
44.78,-0.00410666,-0.0314395,0.00476688,-0.031488388674386844
44.8,-0.00409711,-0.0318,0.00432264,-0.031404602028116006
44.82,-0.00400399,-0.0312461,0.00404777,-0.03057580836356963
44.84,-0.00400399,-0.0299613,0.00524188,-0.03048523504945342
44.86,-0.00390132,-0.0298,0.00458139,-0.02966334579420722
44.88,-0.00390132,-0.029506,0.0048991,-0.029687140829138967
44.9,-0.00389945,-0.0288,0.00554303,-0.02962504235245548
44.92,-0.00379866,-0.0288,0.00463993,-0.02872195764457907
44.94,-0.00379866,-0.0288315,0.00465527,-0.028768804615218677
44.96,-0.00379866,-0.0291407,0.0043758,-0.02879859317807104
44.98,-0.00379866,-0.0280808,0.00539706,-0.028759893506673108
45.0,-0.00379866,-0.0276179,0.00583882,-0.028738761449265023
45.02,-0.00379866,-0.0284049,0.00514268,-0.028829654756429922
45.04,-0.00390132,-0.0294,0.00495728,-0.02963928927537514
45.06,-0.00390132,-0.0300254,0.00434307,-0.029650402341139956
45.08,-0.00390132,-0.030647,0.00373216,-0.02966112318105426
45.1,-0.00400399,-0.0301912,0.00507413,-0.030547227451115183
45.12,-0.00400399,-0.029693,0.00562957,-0.030604657641399233
45.14,-0.00400399,-0.0297109,0.00559924,-0.030592178651454333
45.16,-0.00400399,-0.0305138,0.00474861,-0.030544409614676006
45.18,-0.00400399,-0.0307741,0.00451231,-0.030568428315752745
45.2,-0.00400399,-0.0298016,0.00554843,-0.03063203090966546
45.22,-0.00400399,-0.0300386,0.00533519,-0.030655781245367046
45.24,-0.00400399,-0.0302,0.00503828,-0.03052025673091168
45.26,-0.00400399,-0.0291095,0.00611459,-0.03050603336602825
45.28,-0.00400399,-0.0276678,0.00765978,-0.030609622400839677
45.3,-0.00400399,-0.0290056,0.00632523,-0.030612842785341585
45.32,-0.00400399,-0.0294483,0.00586098,-0.03059123937264127
45.34,-0.00400399,-0.0291287,0.00616252,-0.03057325889250561
45.36,-0.00400399,-0.0288431,0.00649291,-0.030617941727469608
45.38,-0.00402621,-0.0303299,0.00516961,-0.03078152187893396
45.4,-0.00409477,-0.030988,0.0050728,-0.031342803454589584
45.42,-0.00400399,-0.03068,0.00459954,-0.0305615849986862
45.44,-0.00400399,-0.0296791,0.00561595,-0.030577016007757835
45.46,-0.00400399,-0.0292293,0.0061316,-0.03064289970735941
45.48,-0.00400399,-0.0298675,0.00548951,-0.030639008409419605
45.5,-0.00410666,-0.0300091,0.00620435,-0.03149554509263315
45.52,-0.00410666,-0.0303124,0.00587783,-0.03147228673333265
45.54,-0.00410666,-0.030832,0.00536362,-0.03147765404701738
45.56,-0.00410666,-0.0323185,0.00395586,-0.03155637464772678
45.58,-0.00410666,-0.0326,0.00361435,-0.03149637083320003
45.6,-0.00410666,-0.0321707,0.00401471,-0.03146746991335917
45.62,-0.00410666,-0.0316496,0.00464667,-0.031578256772749155
45.64,-0.00410666,-0.0327013,0.00357856,-0.031561879584839324
45.66,-0.00410666,-0.0329656,0.00328874,-0.03153641925069381
45.68,-0.00410666,-0.0321169,0.00416457,-0.031563531065973094
45.7,-0.00410666,-0.0320861,0.00425173,-0.031619819047948874
45.72,-0.00410666,-0.033666,0.00267479,-0.03162284676336077
45.74,-0.00410666,-0.0340651,0.00213894,-0.03148618669954183
45.76,-0.00410666,-0.0312611,0.00503484,-0.03157798152589353
45.78,-0.00410666,-0.0290828,0.00725231,-0.031617066579392596
45.8,-0.00420932,-0.0271927,0.0100375,-0.03251227728436864
45.82,-0.00420932,-0.027,0.0102513,-0.032533295795906206
45.84,-0.00420932,-0.0267312,0.0104606,-0.03247376685718908
45.86,-0.00420932,-0.0264,0.010847,-0.03252906388083153
45.88,-0.00420932,-0.0264441,0.0108284,-0.03255445537127959
45.9,-0.00420932,-0.0274415,0.00986307,-0.03258647686201132
45.92,-0.00420932,-0.0280396,0.00920062,-0.032522292816712046
45.94,-0.00420932,-0.02884,0.00826247,-0.032384473449113375
45.96,-0.00420932,-0.028979,0.00821045,-0.03247150983581591
45.98,-0.00420932,-0.028567,0.00868079,-0.03252976920001064
46.0,-0.00431199,-0.0288411,0.00925296,-0.03337601329459783
46.02,-0.00431199,-0.03,0.00813015,-0.0334121394400808
46.04,-0.00433603,-0.029886,0.00849815,-0.03366613681337723
46.06,-0.00451732,-0.0302325,0.00975964,-0.03527403168337675
46.08,-0.00451732,-0.0310419,0.0088176,-0.03514141776792288
46.1,-0.00451732,-0.0314,0.00845617,-0.03513808728146171
46.12,-0.00451732,-0.0314,0.00859154,-0.03527357752613204
46.14,-0.00451732,-0.031282,0.00870938,-0.03527327475463557
46.16,-0.00451732,-0.0327102,0.00725423,-0.03524647947719797
46.18,-0.00451732,-0.0342,0.00578577,-0.03526782486769911
46.2,-0.00451979,-0.0339904,0.00600268,-0.03527499634039128
46.22,-0.00461999,-0.0334,0.00757288,-0.03625482587486055
46.24,-0.00461999,-0.0338877,0.00700365,-0.03617338713391373
46.26,-0.00461999,-0.0344,0.0064657,-0.03614768593429934
46.28,-0.00461999,-0.0341587,0.00674708,-0.036187785998757944
46.3,-0.00461999,-0.0338186,0.00714547,-0.036246155590653285
46.32,-0.00461999,-0.0344931,0.0064568,-0.03623191155231277
46.34,-0.00461999,-0.0345325,0.00637063,-0.03618515394819502
46.36,-0.00461999,-0.0337666,0.00713344,-0.036182057418121
46.38,-0.00461999,-0.0329583,0.00803761,-0.03627789502391202
46.4,-0.00461999,-0.033064,0.00793973,-0.03628579117560079
46.42,-0.00451732,-0.0342497,0.00576931,-0.035300978346562574
46.44,-0.00461999,-0.0345229,0.00637359,-0.03617849640853587
46.46,-0.00461999,-0.0338,0.00718976,-0.03627170196376398
46.48,-0.00461999,-0.0335303,0.00744818,-0.0362603996289938
46.5,-0.00461999,-0.033,0.0079377,-0.03621968025852039
46.52,-0.00461999,-0.0334438,0.00747052,-0.0361963014564615
46.54,-0.00461999,-0.0335544,0.00743481,-0.03627123748425288
46.56,-0.00461999,-0.0333538,0.00762503,-0.0362608641085049
46.58,-0.00461999,-0.0332796,0.00767708,-0.03623872391847563
46.6,-0.00461999,-0.034,0.00696493,-0.03624692972317179
46.62,-0.00461999,-0.0335576,0.00741455,-0.03625420656884575
46.64,-0.00461999,-0.0331103,0.00786042,-0.036252658303808735
46.66,-0.00461999,-0.0328,0.00820508,-0.036287029787630404
46.68,-0.00459956,-0.0327602,0.00801901,-0.03606130656535307
46.7,-0.00451732,-0.0324,0.00769845,-0.03538045586438595
46.72,-0.00451732,-0.0327031,0.00745507,-0.035440253234938775
46.74,-0.00451732,-0.0337096,0.00643022,-0.03542178417365411
46.76,-0.00451732,-0.0344824,0.00556703,-0.03533140688195781
46.78,-0.00441466,-0.0343551,0.00482354,-0.03446059110285237
